Labels,2ms_77k,
Type,Time Scan,
Comment,,
Start,0.00,
Stop,1.998E008,
Step,2E05,
Fixed/Offset, ,
XAxis,Time,
YAxis,Counts,

1.584E008,5.600E+3,
1.586E008,5.858E+3,
1.588E008,5.757E+3,
1.59E08,5.794E+3,
1.592E008,5.742E+3,
1.594E008,5.863E+3,
1.596E008,5.791E+3,
1.598E008,5.671E+3,
1.6E08,5.879E+3,
1.602E008,5.758E+3,
1.604E008,5.917E+3,
1.606E008,5.749E+3,
1.608E008,5.720E+3,
1.61E08,5.820E+3,
1.612E008,5.754E+3,
1.614E008,5.825E+3,
1.616E008,5.797E+3,
1.618E008,5.783E+3,
1.62E08,5.714E+3,
1.622E008,5.714E+3,
1.624E008,5.799E+3,
1.626E008,5.708E+3,
1.628E008,5.735E+3,
1.63E08,5.764E+3,
1.632E008,5.904E+3,
1.634E008,5.759E+3,
1.636E008,5.789E+3,
1.638E008,5.755E+3,
1.64E08,5.736E+3,
1.642E008,5.719E+3,
1.644E008,5.650E+3,
1.646E008,5.823E+3,
1.648E008,5.783E+3,
1.65E08,5.684E+3,
1.652E008,5.846E+3,
1.654E008,5.830E+3,
1.656E008,5.819E+3,
1.658E008,5.670E+3,
1.66E08,5.819E+3,
1.662E008,5.864E+3,
1.664E008,5.779E+3,
1.666E008,5.758E+3,
1.668E008,5.695E+3,
1.67E08,5.877E+3,
1.672E008,5.688E+3,
1.674E008,5.816E+3,
1.676E008,5.666E+3,
1.678E008,5.854E+3,
1.68E08,5.868E+3,
1.682E008,5.785E+3,
1.684E008,5.965E+3,
1.686E008,5.809E+3,
1.688E008,5.831E+3,
1.69E08,5.780E+3,
1.692E008,5.635E+3,
1.694E008,5.896E+3,
1.696E008,5.820E+3,
1.698E008,5.809E+3,
1.7E08,5.845E+3,
1.702E008,5.682E+3,
1.704E008,5.832E+3,
1.706E008,5.788E+3,
1.708E008,5.746E+3,
1.71E08,5.874E+3,
1.712E008,5.834E+3,
1.714E008,5.766E+3,
1.716E008,5.922E+3,
