Labels,T1_100ms_pump,
Type,Time Scan,
Comment,,
Start,0.00,
Stop,3.996E008,
Step,4E05,
Fixed/Offset, ,
XAxis,Time,
YAxis,Counts,

3.752E008,3.986E+3,
3.756E008,4.096E+3,
3.76E08,4.058E+3,
3.764E008,3.940E+3,
3.768E008,3.914E+3,
3.772E008,3.847E+3,
3.776E008,4.030E+3,
3.78E08,3.887E+3,
3.784E008,3.858E+3,
3.788E008,3.893E+3,
3.792E008,4.028E+3,
3.796E008,3.918E+3,
3.8E08,3.986E+3,
3.804E008,3.986E+3,
3.808E008,4.077E+3,
3.812E008,4.047E+3,
3.816E008,3.958E+3,
3.82E08,4.103E+3,
3.824E008,3.930E+3,
3.828E008,4.005E+3,
3.832E008,4.004E+3,
3.836E008,3.995E+3,
3.84E08,3.923E+3,
3.844E008,4.026E+3,
3.848E008,3.845E+3,
3.852E008,3.960E+3,
3.856E008,4.024E+3,
3.86E08,3.960E+3,
3.864E008,3.998E+3,
3.868E008,4.046E+3,
3.872E008,3.867E+3,
