Labels,T20_100ms_repeat2,
Type,Time Scan,
Comment,,
Start,0.00,
Stop,3.996E008,
Step,4E05,
Fixed/Offset, ,
XAxis,Time,
YAxis,Counts,

1.924E008,8.373E+3,
1.928E008,8.156E+3,
1.932E008,8.321E+3,
1.936E008,8.277E+3,
1.94E08,8.076E+3,
1.944E008,8.277E+3,
1.948E008,8.172E+3,
1.952E008,8.216E+3,
1.956E008,8.137E+3,
1.96E08,8.229E+3,
1.964E008,8.100E+3,
1.968E008,8.110E+3,
1.972E008,8.145E+3,
1.976E008,8.091E+3,
1.98E08,7.895E+3,
1.984E008,8.120E+3,
1.988E008,8.169E+3,
1.992E008,8.053E+3,
1.996E008,8.037E+3,
2E08,7.956E+3,
2.004E008,8.010E+3,
2.008E008,8.061E+3,
2.012E008,8.162E+3,
2.016E008,7.818E+3,
2.02E08,8.020E+3,
2.024E008,8.012E+3,
2.028E008,7.701E+3,
2.032E008,7.898E+3,
2.036E008,7.935E+3,
2.04E08,7.992E+3,
2.044E008,8.128E+3,
2.048E008,8.056E+3,
2.052E008,7.868E+3,
2.056E008,7.933E+3,
2.06E08,8.033E+3,
2.064E008,7.927E+3,
2.068E008,7.882E+3,
2.072E008,7.981E+3,
2.076E008,8.074E+3,
2.08E08,8.068E+3,
2.084E008,7.955E+3,
2.088E008,7.890E+3,
2.092E008,7.838E+3,
2.096E008,7.908E+3,
2.1E08,7.686E+3,
2.104E008,7.829E+3,
2.108E008,8.042E+3,
2.112E008,8.065E+3,
2.116E008,7.907E+3,
2.12E08,7.873E+3,
2.124E008,7.919E+3,
2.128E008,8.041E+3,
2.132E008,8.053E+3,
2.136E008,7.892E+3,
2.14E08,7.903E+3,
2.144E008,7.911E+3,
2.148E008,7.688E+3,
2.152E008,7.927E+3,
2.156E008,7.845E+3,
2.16E08,7.917E+3,
2.164E008,7.778E+3,
2.168E008,8.033E+3,
2.172E008,7.907E+3,
2.176E008,7.835E+3,
2.18E08,8.128E+3,
2.184E008,7.724E+3,
2.188E008,7.795E+3,
2.192E008,7.965E+3,
2.196E008,7.989E+3,
2.2E08,7.849E+3,
2.204E008,7.793E+3,
2.208E008,7.840E+3,
2.212E008,7.979E+3,
2.216E008,8.071E+3,
2.22E08,7.969E+3,
2.224E008,7.694E+3,
2.228E008,7.833E+3,
2.232E008,7.932E+3,
2.236E008,7.965E+3,
2.24E08,7.818E+3,
2.244E008,8.072E+3,
2.248E008,7.818E+3,
2.252E008,7.843E+3,
2.256E008,7.885E+3,
2.26E08,8.051E+3,
2.264E008,7.880E+3,
2.268E008,7.927E+3,
2.272E008,7.942E+3,
2.276E008,7.950E+3,
2.28E08,7.735E+3,
2.284E008,7.844E+3,
2.288E008,7.990E+3,
2.292E008,7.761E+3,
2.296E008,7.892E+3,
2.3E08,7.734E+3,
2.304E008,8.009E+3,
2.308E008,7.785E+3,
2.312E008,7.932E+3,
2.316E008,7.966E+3,
2.32E08,7.958E+3,
2.324E008,7.895E+3,
2.328E008,7.909E+3,
2.332E008,7.860E+3,
2.336E008,7.655E+3,
2.34E08,7.804E+3,
2.344E008,7.773E+3,
2.348E008,7.939E+3,
2.352E008,8.034E+3,
2.356E008,7.834E+3,
2.36E08,8.087E+3,
2.364E008,7.789E+3,
2.368E008,7.878E+3,
2.372E008,7.671E+3,
2.376E008,7.840E+3,
2.38E08,7.747E+3,
2.384E008,7.741E+3,
2.388E008,7.972E+3,
2.392E008,7.577E+3,
2.396E008,7.919E+3,
2.4E08,7.710E+3,
2.404E008,7.741E+3,
2.408E008,7.905E+3,
2.412E008,7.661E+3,
2.416E008,7.788E+3,
2.42E08,7.873E+3,
2.424E008,7.962E+3,
2.428E008,7.804E+3,
2.432E008,7.893E+3,
2.436E008,7.863E+3,
2.44E08,7.912E+3,
2.444E008,7.670E+3,
2.448E008,7.879E+3,
2.452E008,7.798E+3,
2.456E008,7.754E+3,
2.46E08,7.688E+3,
2.464E008,7.647E+3,
2.468E008,7.899E+3,
2.472E008,7.857E+3,
2.476E008,7.741E+3,
2.48E08,7.951E+3,
2.484E008,7.795E+3,
2.488E008,8.039E+3,
2.492E008,7.867E+3,
2.496E008,7.785E+3,
2.5E08,7.714E+3,
2.504E008,7.667E+3,
2.508E008,7.602E+3,
2.512E008,7.790E+3,
2.516E008,7.877E+3,
2.52E08,7.800E+3,
2.524E008,7.793E+3,
2.528E008,7.807E+3,
2.532E008,7.735E+3,
2.536E008,7.897E+3,
2.54E08,7.936E+3,
2.544E008,7.867E+3,
2.548E008,7.813E+3,
