Labels,amplitude_6p5_10sweeps,
Type,Time Scan,
Comment,,
Start,0.00,
Stop,3.996E008,
Step,4E05,
Fixed/Offset, ,
XAxis,Time,
YAxis,Counts,

2.796E008,6.670E+2,
2.8E08,7.390E+2,
2.804E008,7.030E+2,
2.808E008,7.020E+2,
2.812E008,6.870E+2,
2.816E008,6.650E+2,
2.82E08,7.760E+2,
2.824E008,6.970E+2,
2.828E008,7.290E+2,
2.832E008,6.890E+2,
2.836E008,7.250E+2,
2.84E08,7.500E+2,
2.844E008,6.230E+2,
2.848E008,6.900E+2,
2.852E008,6.650E+2,
2.856E008,7.030E+2,
2.86E08,6.530E+2,
2.864E008,6.710E+2,
2.868E008,7.230E+2,
2.872E008,7.000E+2,
2.876E008,6.940E+2,
2.88E08,7.120E+2,
2.884E008,7.380E+2,
2.888E008,7.000E+2,
2.892E008,6.810E+2,
2.896E008,7.040E+2,
2.9E08,7.010E+2,
2.904E008,7.310E+2,
2.908E008,6.480E+2,
2.912E008,7.140E+2,
2.916E008,7.420E+2,
2.92E08,7.150E+2,
2.924E008,7.340E+2,
2.928E008,6.670E+2,
2.932E008,7.190E+2,
2.936E008,7.170E+2,
2.94E08,6.640E+2,
2.944E008,6.560E+2,
2.948E008,6.710E+2,
2.952E008,6.760E+2,
2.956E008,7.030E+2,
2.96E08,6.870E+2,
2.964E008,6.330E+2,
2.968E008,6.900E+2,
2.972E008,7.530E+2,
2.976E008,6.670E+2,
2.98E08,7.490E+2,
2.984E008,7.210E+2,
2.988E008,7.870E+2,
2.992E008,7.060E+2,
2.996E008,7.330E+2,
3E08,7.020E+2,
3.004E008,7.510E+2,
3.008E008,6.900E+2,
3.012E008,7.110E+2,
3.016E008,6.800E+2,
3.02E08,6.960E+2,
3.024E008,7.170E+2,
3.028E008,7.220E+2,
3.032E008,7.400E+2,
3.036E008,6.830E+2,
3.04E08,6.680E+2,
3.044E008,6.710E+2,
3.048E008,7.220E+2,
3.052E008,6.930E+2,
3.056E008,6.750E+2,
3.06E08,6.510E+2,
3.064E008,6.790E+2,
3.068E008,6.910E+2,
3.072E008,6.970E+2,
3.076E008,6.840E+2,
3.08E08,7.200E+2,
3.084E008,7.270E+2,
3.088E008,7.060E+2,
3.092E008,7.470E+2,
3.096E008,7.020E+2,
3.1E08,7.150E+2,
3.104E008,6.940E+2,
3.108E008,7.110E+2,
3.112E008,7.330E+2,
3.116E008,6.930E+2,
3.12E08,6.890E+2,
3.124E008,6.990E+2,
3.128E008,6.640E+2,
3.132E008,6.840E+2,
3.136E008,7.440E+2,
3.14E08,7.000E+2,
3.144E008,6.540E+2,
3.148E008,7.100E+2,
3.152E008,6.810E+2,
3.156E008,6.680E+2,
3.16E08,6.900E+2,
3.164E008,7.320E+2,
3.168E008,7.020E+2,
3.172E008,7.140E+2,
3.176E008,7.240E+2,
3.18E08,7.210E+2,
3.184E008,6.460E+2,
3.188E008,7.190E+2,
3.192E008,6.920E+2,
3.196E008,6.490E+2,
3.2E08,7.550E+2,
3.204E008,6.400E+2,
3.208E008,7.390E+2,
3.212E008,6.590E+2,
3.216E008,7.240E+2,
3.22E08,6.770E+2,
3.224E008,7.200E+2,
3.228E008,7.460E+2,
3.232E008,6.990E+2,
3.236E008,7.000E+2,
3.24E08,7.350E+2,
3.244E008,6.930E+2,
3.248E008,6.630E+2,
3.252E008,7.700E+2,
3.256E008,7.210E+2,
3.26E08,7.410E+2,
3.264E008,7.100E+2,
3.268E008,6.610E+2,
3.272E008,7.330E+2,
3.276E008,6.840E+2,
3.28E08,6.880E+2,
3.284E008,6.960E+2,
3.288E008,7.610E+2,
3.292E008,7.040E+2,
3.296E008,6.890E+2,
3.3E08,6.710E+2,
3.304E008,7.060E+2,
3.308E008,6.820E+2,
3.312E008,6.890E+2,
3.316E008,6.860E+2,
3.32E08,7.190E+2,
3.324E008,7.480E+2,
3.328E008,6.840E+2,
3.332E008,7.030E+2,
3.336E008,6.770E+2,
3.34E08,7.190E+2,
3.344E008,7.380E+2,
3.348E008,6.980E+2,
3.352E008,6.760E+2,
3.356E008,7.120E+2,
3.36E08,7.160E+2,
3.364E008,7.200E+2,
3.368E008,6.840E+2,
3.372E008,7.020E+2,
3.376E008,6.890E+2,
3.38E08,7.220E+2,
3.384E008,6.880E+2,
3.388E008,6.710E+2,
3.392E008,7.010E+2,
3.396E008,6.660E+2,
3.4E08,7.170E+2,
3.404E008,7.360E+2,
3.408E008,6.730E+2,
3.412E008,7.190E+2,
3.416E008,6.600E+2,
3.42E08,6.870E+2,
3.424E008,7.430E+2,
3.428E008,6.910E+2,
3.432E008,7.180E+2,
3.436E008,6.710E+2,
3.44E08,7.370E+2,
3.444E008,6.940E+2,
3.448E008,7.030E+2,
3.452E008,6.980E+2,
3.456E008,6.500E+2,
3.46E08,7.180E+2,
3.464E008,6.960E+2,
3.468E008,6.600E+2,
3.472E008,6.580E+2,
3.476E008,6.780E+2,
3.48E08,6.800E+2,
3.484E008,7.270E+2,
3.488E008,7.200E+2,
3.492E008,7.610E+2,
3.496E008,6.500E+2,
3.5E08,7.100E+2,
3.504E008,7.010E+2,
3.508E008,6.830E+2,
3.512E008,7.260E+2,
3.516E008,7.220E+2,
3.52E08,7.750E+2,
3.524E008,6.960E+2,
3.528E008,7.150E+2,
3.532E008,7.070E+2,
3.536E008,7.180E+2,
3.54E08,6.710E+2,
3.544E008,6.560E+2,
3.548E008,6.840E+2,
3.552E008,7.000E+2,
3.556E008,6.980E+2,
3.56E08,7.570E+2,
3.564E008,7.120E+2,
3.568E008,6.840E+2,
3.572E008,7.060E+2,
3.576E008,7.060E+2,
3.58E08,7.080E+2,
3.584E008,7.300E+2,
3.588E008,6.800E+2,
3.592E008,7.220E+2,
3.596E008,7.390E+2,
3.6E08,7.030E+2,
3.604E008,7.160E+2,
3.608E008,7.050E+2,
3.612E008,6.750E+2,
3.616E008,7.060E+2,
3.62E08,6.620E+2,
3.624E008,7.030E+2,
3.628E008,7.230E+2,
3.632E008,7.160E+2,
3.636E008,7.440E+2,
3.64E08,7.320E+2,
3.644E008,7.150E+2,
3.648E008,6.700E+2,
3.652E008,6.890E+2,
3.656E008,6.940E+2,
3.66E08,6.390E+2,
3.664E008,7.310E+2,
3.668E008,7.380E+2,
3.672E008,7.390E+2,
3.676E008,6.710E+2,
3.68E08,6.540E+2,
3.684E008,7.660E+2,
3.688E008,7.150E+2,
3.692E008,7.280E+2,
3.696E008,7.200E+2,
3.7E08,6.420E+2,
3.704E008,6.670E+2,
3.708E008,6.400E+2,
3.712E008,6.980E+2,
3.716E008,7.040E+2,
3.72E08,7.250E+2,
3.724E008,6.700E+2,
3.728E008,7.070E+2,
3.732E008,6.940E+2,
3.736E008,6.470E+2,
3.74E08,6.630E+2,
3.744E008,6.850E+2,
3.748E008,7.250E+2,
3.752E008,6.470E+2,
3.756E008,7.460E+2,
3.76E08,7.250E+2,
3.764E008,6.980E+2,
3.768E008,7.360E+2,
3.772E008,7.240E+2,
3.776E008,7.100E+2,
3.78E08,6.960E+2,
3.784E008,6.970E+2,
3.788E008,6.690E+2,
3.792E008,7.340E+2,
3.796E008,7.350E+2,
3.8E08,7.090E+2,
3.804E008,7.140E+2,
3.808E008,6.690E+2,
3.812E008,6.550E+2,
3.816E008,7.350E+2,
3.82E08,7.300E+2,
3.824E008,7.270E+2,
3.828E008,6.640E+2,
3.832E008,6.440E+2,
3.836E008,7.050E+2,
3.84E08,7.300E+2,
3.844E008,6.790E+2,
3.848E008,7.010E+2,
3.852E008,6.810E+2,
3.856E008,7.110E+2,
3.86E08,7.250E+2,
3.864E008,6.970E+2,
3.868E008,7.010E+2,
