Labels,amplitude_3_5sweeps,
Type,Time Scan,
Comment,,
Start,0.00,
Stop,3.996E008,
Step,4E05,
Fixed/Offset, ,
XAxis,Time,
YAxis,Counts,

2.26E08,3.130E+2,
2.264E008,2.750E+2,
2.268E008,2.710E+2,
2.272E008,2.890E+2,
2.276E008,2.830E+2,
2.28E08,3.010E+2,
2.284E008,2.780E+2,
2.288E008,3.020E+2,
2.292E008,2.810E+2,
2.296E008,2.890E+2,
2.3E08,2.550E+2,
2.304E008,3.080E+2,
2.308E008,2.890E+2,
2.312E008,2.610E+2,
2.316E008,2.860E+2,
2.32E08,3.000E+2,
2.324E008,2.430E+2,
2.328E008,2.450E+2,
2.332E008,2.680E+2,
2.336E008,2.650E+2,
2.34E08,2.560E+2,
2.344E008,2.860E+2,
2.348E008,2.930E+2,
2.352E008,3.060E+2,
2.356E008,2.700E+2,
2.36E08,2.950E+2,
2.364E008,2.740E+2,
2.368E008,2.660E+2,
2.372E008,2.780E+2,
2.376E008,3.110E+2,
2.38E08,3.220E+2,
2.384E008,3.070E+2,
2.388E008,2.870E+2,
2.392E008,2.510E+2,
2.396E008,2.670E+2,
2.4E08,2.800E+2,
2.404E008,3.040E+2,
2.408E008,2.760E+2,
2.412E008,2.800E+2,
2.416E008,2.660E+2,
2.42E08,2.530E+2,
2.424E008,2.400E+2,
2.428E008,2.930E+2,
2.432E008,2.590E+2,
2.436E008,2.850E+2,
2.44E08,2.590E+2,
2.444E008,2.560E+2,
2.448E008,2.730E+2,
2.452E008,2.590E+2,
2.456E008,2.900E+2,
2.46E08,2.970E+2,
2.464E008,3.060E+2,
2.468E008,2.930E+2,
2.472E008,2.890E+2,
2.476E008,2.880E+2,
2.48E08,2.770E+2,
2.484E008,2.880E+2,
2.488E008,2.910E+2,
2.492E008,2.660E+2,
2.496E008,2.790E+2,
2.5E08,2.640E+2,
2.504E008,2.670E+2,
2.508E008,2.740E+2,
2.512E008,2.670E+2,
2.516E008,2.790E+2,
2.52E08,2.760E+2,
2.524E008,2.850E+2,
2.528E008,2.580E+2,
2.532E008,2.770E+2,
2.536E008,2.520E+2,
2.54E08,2.720E+2,
2.544E008,2.740E+2,
2.548E008,2.780E+2,
2.552E008,2.570E+2,
2.556E008,2.880E+2,
2.56E08,2.330E+2,
2.564E008,2.800E+2,
2.568E008,2.610E+2,
2.572E008,2.850E+2,
2.576E008,2.450E+2,
2.58E08,2.590E+2,
2.584E008,2.570E+2,
2.588E008,2.780E+2,
2.592E008,2.670E+2,
2.596E008,2.780E+2,
2.6E08,2.720E+2,
2.604E008,2.670E+2,
2.608E008,2.570E+2,
2.612E008,2.650E+2,
2.616E008,3.090E+2,
2.62E08,2.970E+2,
2.624E008,2.400E+2,
2.628E008,2.580E+2,
2.632E008,3.020E+2,
2.636E008,2.560E+2,
2.64E08,2.780E+2,
2.644E008,2.810E+2,
2.648E008,2.880E+2,
2.652E008,2.950E+2,
2.656E008,2.760E+2,
2.66E08,2.580E+2,
2.664E008,2.860E+2,
2.668E008,2.580E+2,
2.672E008,2.580E+2,
2.676E008,2.940E+2,
2.68E08,2.970E+2,
2.684E008,2.650E+2,
2.688E008,2.710E+2,
2.692E008,2.620E+2,
2.696E008,2.720E+2,
2.7E08,2.920E+2,
2.704E008,2.980E+2,
2.708E008,2.950E+2,
2.712E008,2.840E+2,
2.716E008,2.910E+2,
2.72E08,2.640E+2,
2.724E008,2.660E+2,
2.728E008,3.070E+2,
2.732E008,2.710E+2,
2.736E008,3.200E+2,
2.74E08,2.490E+2,
2.744E008,2.630E+2,
2.748E008,2.610E+2,
2.752E008,3.090E+2,
2.756E008,2.980E+2,
2.76E08,2.830E+2,
2.764E008,2.830E+2,
2.768E008,2.650E+2,
2.772E008,2.750E+2,
2.776E008,2.690E+2,
2.78E08,2.890E+2,
2.784E008,2.920E+2,
2.788E008,2.610E+2,
2.792E008,2.680E+2,
2.796E008,2.890E+2,
2.8E08,2.490E+2,
2.804E008,2.840E+2,
2.808E008,2.480E+2,
2.812E008,2.530E+2,
2.816E008,2.760E+2,
2.82E08,2.630E+2,
2.824E008,2.550E+2,
2.828E008,2.640E+2,
2.832E008,3.090E+2,
2.836E008,2.720E+2,
2.84E08,2.510E+2,
2.844E008,2.510E+2,
2.848E008,2.640E+2,
2.852E008,2.780E+2,
2.856E008,2.930E+2,
2.86E08,2.400E+2,
2.864E008,3.060E+2,
2.868E008,2.590E+2,
2.872E008,2.750E+2,
2.876E008,2.540E+2,
2.88E08,2.520E+2,
2.884E008,2.730E+2,
2.888E008,2.800E+2,
2.892E008,2.630E+2,
2.896E008,2.790E+2,
2.9E08,2.590E+2,
2.904E008,2.610E+2,
2.908E008,2.860E+2,
2.912E008,2.490E+2,
2.916E008,3.000E+2,
2.92E08,2.580E+2,
2.924E008,2.690E+2,
2.928E008,2.710E+2,
2.932E008,2.430E+2,
2.936E008,3.000E+2,
2.94E08,3.250E+2,
2.944E008,2.710E+2,
2.948E008,2.790E+2,
2.952E008,2.730E+2,
2.956E008,2.800E+2,
2.96E08,3.190E+2,
2.964E008,2.900E+2,
2.968E008,2.720E+2,
2.972E008,2.520E+2,
2.976E008,2.480E+2,
2.98E08,2.570E+2,
2.984E008,2.730E+2,
2.988E008,3.040E+2,
2.992E008,2.670E+2,
2.996E008,2.790E+2,
3E08,2.780E+2,
3.004E008,2.980E+2,
3.008E008,2.710E+2,
3.012E008,2.790E+2,
3.016E008,2.760E+2,
3.02E08,2.840E+2,
3.024E008,2.390E+2,
3.028E008,2.660E+2,
3.032E008,2.670E+2,
3.036E008,2.680E+2,
3.04E08,2.960E+2,
3.044E008,2.510E+2,
3.048E008,2.900E+2,
3.052E008,2.420E+2,
3.056E008,2.790E+2,
3.06E08,2.490E+2,
3.064E008,2.690E+2,
3.068E008,2.810E+2,
3.072E008,2.720E+2,
3.076E008,2.180E+2,
3.08E08,2.730E+2,
3.084E008,2.610E+2,
3.088E008,2.490E+2,
3.092E008,2.350E+2,
3.096E008,2.480E+2,
3.1E08,2.880E+2,
3.104E008,2.810E+2,
3.108E008,2.890E+2,
3.112E008,2.770E+2,
3.116E008,2.930E+2,
3.12E08,2.740E+2,
3.124E008,3.120E+2,
3.128E008,3.010E+2,
3.132E008,2.630E+2,
3.136E008,3.240E+2,
3.14E08,2.710E+2,
3.144E008,2.690E+2,
3.148E008,2.960E+2,
3.152E008,2.800E+2,
3.156E008,2.790E+2,
3.16E08,2.320E+2,
3.164E008,3.190E+2,
3.168E008,2.780E+2,
3.172E008,3.010E+2,
3.176E008,2.650E+2,
3.18E08,2.870E+2,
3.184E008,2.910E+2,
3.188E008,2.690E+2,
3.192E008,2.420E+2,
3.196E008,2.520E+2,
3.2E08,2.410E+2,
3.204E008,3.000E+2,
3.208E008,2.700E+2,
3.212E008,2.750E+2,
3.216E008,2.800E+2,
3.22E08,2.890E+2,
3.224E008,2.950E+2,
3.228E008,2.720E+2,
3.232E008,2.500E+2,
3.236E008,2.870E+2,
3.24E08,2.790E+2,
3.244E008,2.610E+2,
3.248E008,2.940E+2,
3.252E008,2.690E+2,
3.256E008,2.840E+2,
3.26E08,2.910E+2,
3.264E008,3.140E+2,
3.268E008,2.690E+2,
3.272E008,2.700E+2,
3.276E008,2.360E+2,
3.28E08,2.470E+2,
3.284E008,2.700E+2,
3.288E008,2.750E+2,
3.292E008,2.670E+2,
3.296E008,3.040E+2,
3.3E08,2.650E+2,
3.304E008,3.030E+2,
3.308E008,2.930E+2,
3.312E008,2.780E+2,
3.316E008,3.070E+2,
3.32E08,2.680E+2,
3.324E008,2.550E+2,
3.328E008,2.610E+2,
3.332E008,2.520E+2,
3.336E008,3.060E+2,
3.34E08,2.790E+2,
3.344E008,2.690E+2,
3.348E008,2.820E+2,
3.352E008,2.660E+2,
3.356E008,2.670E+2,
3.36E08,2.750E+2,
3.364E008,2.640E+2,
3.368E008,3.060E+2,
3.372E008,2.540E+2,
3.376E008,3.000E+2,
3.38E08,2.570E+2,
3.384E008,2.970E+2,
3.388E008,2.310E+2,
3.392E008,2.800E+2,
3.396E008,3.030E+2,
3.4E08,2.870E+2,
3.404E008,2.760E+2,
3.408E008,2.330E+2,
3.412E008,2.730E+2,
3.416E008,3.000E+2,
3.42E08,2.710E+2,
3.424E008,2.650E+2,
