Labels,5p5,
Type,Time Scan,
Comment,,
Start,0.00,
Stop,3.996E008,
Step,4E05,
Fixed/Offset, ,
XAxis,Time,
YAxis,Counts,

2.008E008,1.144E+4,
2.012E008,1.151E+4,
2.016E008,1.132E+4,
2.02E08,1.146E+4,
2.024E008,1.142E+4,
2.028E008,1.144E+4,
2.032E008,1.157E+4,
2.036E008,1.139E+4,
2.04E08,1.146E+4,
2.044E008,1.164E+4,
2.048E008,1.135E+4,
2.052E008,1.134E+4,
2.056E008,1.131E+4,
2.06E08,1.152E+4,
2.064E008,1.131E+4,
2.068E008,1.130E+4,
2.072E008,1.139E+4,
2.076E008,1.150E+4,
2.08E08,1.119E+4,
2.084E008,1.121E+4,
2.088E008,1.106E+4,
2.092E008,1.115E+4,
2.096E008,1.125E+4,
2.1E08,1.114E+4,
2.104E008,1.144E+4,
2.108E008,1.121E+4,
2.112E008,1.123E+4,
2.116E008,1.118E+4,
2.12E08,1.148E+4,
2.124E008,1.115E+4,
2.128E008,1.118E+4,
2.132E008,1.132E+4,
2.136E008,1.132E+4,
2.14E08,1.112E+4,
2.144E008,1.110E+4,
2.148E008,1.117E+4,
2.152E008,1.123E+4,
2.156E008,1.114E+4,
2.16E08,1.092E+4,
2.164E008,1.103E+4,
2.168E008,1.124E+4,
2.172E008,1.100E+4,
2.176E008,1.097E+4,
2.18E08,1.104E+4,
2.184E008,1.117E+4,
2.188E008,1.116E+4,
2.192E008,1.103E+4,
2.196E008,1.091E+4,
2.2E08,1.120E+4,
2.204E008,1.114E+4,
2.208E008,1.109E+4,
2.212E008,1.101E+4,
2.216E008,1.100E+4,
2.22E08,1.098E+4,
2.224E008,1.101E+4,
2.228E008,1.098E+4,
2.232E008,1.085E+4,
2.236E008,1.112E+4,
2.24E08,1.096E+4,
2.244E008,1.104E+4,
2.248E008,1.083E+4,
2.252E008,1.113E+4,
2.256E008,1.120E+4,
2.26E08,1.099E+4,
2.264E008,1.115E+4,
2.268E008,1.073E+4,
2.272E008,1.095E+4,
2.276E008,1.091E+4,
2.28E08,1.103E+4,
2.284E008,1.091E+4,
2.288E008,1.105E+4,
2.292E008,1.090E+4,
2.296E008,1.089E+4,
2.3E08,1.111E+4,
2.304E008,1.107E+4,
2.308E008,1.094E+4,
2.312E008,1.115E+4,
2.316E008,1.113E+4,
2.32E08,1.118E+4,
2.324E008,1.084E+4,
2.328E008,1.090E+4,
2.332E008,1.102E+4,
2.336E008,1.095E+4,
2.34E08,1.083E+4,
2.344E008,1.101E+4,
2.348E008,1.096E+4,
2.352E008,1.096E+4,
2.356E008,1.087E+4,
2.36E08,1.102E+4,
2.364E008,1.085E+4,
2.368E008,1.070E+4,
2.372E008,1.087E+4,
2.376E008,1.113E+4,
2.38E08,1.094E+4,
2.384E008,1.112E+4,
2.388E008,1.113E+4,
2.392E008,1.102E+4,
2.396E008,1.072E+4,
2.4E08,1.098E+4,
2.404E008,1.091E+4,
2.408E008,1.091E+4,
2.412E008,1.092E+4,
2.416E008,1.082E+4,
2.42E08,1.084E+4,
2.424E008,1.106E+4,
2.428E008,1.109E+4,
2.432E008,1.087E+4,
2.436E008,1.114E+4,
2.44E08,1.077E+4,
2.444E008,1.099E+4,
2.448E008,1.089E+4,
2.452E008,1.096E+4,
2.456E008,1.100E+4,
2.46E08,1.071E+4,
2.464E008,1.094E+4,
2.468E008,1.106E+4,
2.472E008,1.106E+4,
2.476E008,1.102E+4,
2.48E08,1.083E+4,
2.484E008,1.090E+4,
2.488E008,1.075E+4,
2.492E008,1.100E+4,
2.496E008,1.078E+4,
2.5E08,1.108E+4,
2.504E008,1.095E+4,
2.508E008,1.106E+4,
2.512E008,1.091E+4,
2.516E008,1.084E+4,
2.52E08,1.089E+4,
2.524E008,1.104E+4,
2.528E008,1.086E+4,
2.532E008,1.113E+4,
2.536E008,1.101E+4,
2.54E08,1.098E+4,
2.544E008,1.090E+4,
2.548E008,1.073E+4,
2.552E008,1.102E+4,
2.556E008,1.098E+4,
2.56E08,1.115E+4,
2.564E008,1.101E+4,
2.568E008,1.106E+4,
2.572E008,1.100E+4,
2.576E008,1.093E+4,
2.58E08,1.066E+4,
2.584E008,1.103E+4,
2.588E008,1.072E+4,
2.592E008,1.088E+4,
2.596E008,1.101E+4,
2.6E08,1.093E+4,
2.604E008,1.094E+4,
2.608E008,1.087E+4,
2.612E008,1.091E+4,
2.616E008,1.085E+4,
2.62E08,1.085E+4,
2.624E008,1.088E+4,
2.628E008,1.107E+4,
2.632E008,1.108E+4,
2.636E008,1.100E+4,
2.64E08,1.091E+4,
2.644E008,1.107E+4,
2.648E008,1.087E+4,
2.652E008,1.102E+4,
2.656E008,1.077E+4,
2.66E08,1.064E+4,
2.664E008,1.061E+4,
2.668E008,1.087E+4,
2.672E008,1.094E+4,
2.676E008,1.090E+4,
2.68E08,1.095E+4,
2.684E008,1.102E+4,
2.688E008,1.120E+4,
2.692E008,1.074E+4,
2.696E008,1.115E+4,
2.7E08,1.104E+4,
2.704E008,1.109E+4,
2.708E008,1.088E+4,
2.712E008,1.108E+4,
2.716E008,1.076E+4,
2.72E08,1.116E+4,
2.724E008,1.082E+4,
2.728E008,1.071E+4,
2.732E008,1.085E+4,
2.736E008,1.091E+4,
2.74E08,1.091E+4,
2.744E008,1.080E+4,
2.748E008,1.104E+4,
2.752E008,1.089E+4,
2.756E008,1.104E+4,
2.76E08,1.077E+4,
2.764E008,1.075E+4,
2.768E008,1.091E+4,
2.772E008,1.097E+4,
2.776E008,1.101E+4,
2.78E08,1.086E+4,
2.784E008,1.099E+4,
2.788E008,1.087E+4,
2.792E008,1.086E+4,
2.796E008,1.087E+4,
2.8E08,1.079E+4,
2.804E008,1.089E+4,
2.808E008,1.108E+4,
2.812E008,1.073E+4,
2.816E008,1.078E+4,
2.82E08,1.074E+4,
2.824E008,1.077E+4,
2.828E008,1.096E+4,
2.832E008,1.099E+4,
2.836E008,1.078E+4,
2.84E08,1.087E+4,
2.844E008,1.093E+4,
2.848E008,1.083E+4,
2.852E008,1.107E+4,
2.856E008,1.088E+4,
2.86E08,1.118E+4,
2.864E008,1.063E+4,
2.868E008,1.114E+4,
2.872E008,1.097E+4,
2.876E008,1.074E+4,
2.88E08,1.117E+4,
2.884E008,1.078E+4,
2.888E008,1.060E+4,
2.892E008,1.093E+4,
2.896E008,1.106E+4,
2.9E08,1.102E+4,
2.904E008,1.082E+4,
