Labels,t12_air,
Type,Time Scan,
Comment,,
Start,0.00,
Stop,7.998E007,
Step,2E04,
Fixed/Offset, ,
XAxis,Time,
YAxis,Counts,

1.334E007,9.771E+3,
1.336E007,9.668E+3,
1.338E007,9.809E+3,
1.34E07,9.892E+3,
1.342E007,9.836E+3,
1.344E007,9.706E+3,
1.346E007,9.675E+3,
1.348E007,9.879E+3,
1.35E07,9.768E+3,
1.352E007,9.749E+3,
1.354E007,9.794E+3,
1.356E007,9.642E+3,
1.358E007,9.819E+3,
1.36E07,9.587E+3,
1.362E007,9.606E+3,
1.364E007,9.583E+3,
1.366E007,9.548E+3,
1.368E007,9.491E+3,
1.37E07,9.612E+3,
1.372E007,9.741E+3,
1.374E007,9.571E+3,
1.376E007,9.486E+3,
1.378E007,9.407E+3,
1.38E07,9.534E+3,
1.382E007,9.273E+3,
1.384E007,9.399E+3,
1.386E007,9.397E+3,
1.388E007,9.384E+3,
1.39E07,9.193E+3,
1.392E007,9.338E+3,
1.394E007,9.355E+3,
1.396E007,9.400E+3,
1.398E007,9.378E+3,
1.4E07,9.310E+3,
1.402E007,9.447E+3,
1.404E007,9.227E+3,
1.406E007,9.108E+3,
1.408E007,9.267E+3,
1.41E07,9.144E+3,
1.412E007,9.204E+3,
1.414E007,9.022E+3,
1.416E007,9.049E+3,
1.418E007,8.981E+3,
1.42E07,9.128E+3,
1.422E007,9.040E+3,
1.424E007,8.968E+3,
1.426E007,8.961E+3,
1.428E007,8.990E+3,
1.43E07,8.994E+3,
1.432E007,8.973E+3,
1.434E007,8.966E+3,
1.436E007,8.927E+3,
1.438E007,8.993E+3,
1.44E07,9.011E+3,
1.442E007,8.943E+3,
1.444E007,8.882E+3,
1.446E007,8.824E+3,
1.448E007,8.671E+3,
1.45E07,9.048E+3,
1.452E007,8.833E+3,
1.454E007,8.768E+3,
1.456E007,8.722E+3,
1.458E007,8.892E+3,
1.46E07,8.886E+3,
1.462E007,8.734E+3,
1.464E007,8.790E+3,
1.466E007,8.767E+3,
1.468E007,8.740E+3,
1.47E07,8.805E+3,
1.472E007,8.702E+3,
1.474E007,8.809E+3,
1.476E007,8.627E+3,
1.478E007,8.704E+3,
1.48E07,8.495E+3,
1.482E007,8.489E+3,
1.484E007,8.613E+3,
1.486E007,8.483E+3,
1.488E007,8.597E+3,
1.49E07,8.537E+3,
1.492E007,8.728E+3,
1.494E007,8.548E+3,
1.496E007,8.508E+3,
1.498E007,8.391E+3,
1.5E07,8.180E+3,
1.502E007,8.598E+3,
1.504E007,8.455E+3,
1.506E007,8.292E+3,
1.508E007,8.379E+3,
1.51E07,8.381E+3,
1.512E007,8.219E+3,
1.514E007,8.458E+3,
1.516E007,8.286E+3,
1.518E007,8.289E+3,
1.52E07,8.267E+3,
1.522E007,8.235E+3,
1.524E007,8.456E+3,
1.526E007,8.304E+3,
1.528E007,8.373E+3,
1.53E07,7.936E+3,
1.532E007,8.324E+3,
1.534E007,8.212E+3,
1.536E007,8.148E+3,
1.538E007,7.988E+3,
1.54E07,8.097E+3,
1.542E007,8.187E+3,
1.544E007,8.011E+3,
1.546E007,8.242E+3,
1.548E007,8.052E+3,
1.55E07,8.014E+3,
1.552E007,8.063E+3,
1.554E007,8.097E+3,
1.556E007,7.948E+3,
1.558E007,8.005E+3,
1.56E07,8.051E+3,
1.562E007,7.911E+3,
1.564E007,7.965E+3,
1.566E007,7.852E+3,
1.568E007,7.962E+3,
1.57E07,7.823E+3,
