Labels,T13_2ms,
Type,Time Scan,
Comment,,
Start,0.00,
Stop,1.998E008,
Step,2E05,
Fixed/Offset, ,
XAxis,Time,
YAxis,Counts,

1.364E008,7.096E+3,
1.366E008,7.161E+3,
1.368E008,7.126E+3,
1.37E08,7.149E+3,
1.372E008,7.119E+3,
1.374E008,7.320E+3,
1.376E008,7.165E+3,
1.378E008,7.258E+3,
1.38E08,7.020E+3,
1.382E008,7.219E+3,
1.384E008,7.300E+3,
1.386E008,7.176E+3,
1.388E008,7.043E+3,
1.39E08,7.167E+3,
1.392E008,7.164E+3,
1.394E008,7.114E+3,
1.396E008,7.164E+3,
1.398E008,7.137E+3,
1.4E08,7.148E+3,
1.402E008,7.192E+3,
1.404E008,7.117E+3,
1.406E008,7.129E+3,
1.408E008,7.040E+3,
1.41E08,7.205E+3,
1.412E008,7.235E+3,
1.414E008,7.099E+3,
1.416E008,7.152E+3,
1.418E008,7.285E+3,
1.42E08,7.235E+3,
1.422E008,7.121E+3,
1.424E008,7.186E+3,
1.426E008,7.269E+3,
1.428E008,7.188E+3,
1.43E08,7.116E+3,
1.432E008,7.123E+3,
1.434E008,7.180E+3,
1.436E008,7.210E+3,
1.438E008,7.183E+3,
1.44E08,7.250E+3,
1.442E008,7.214E+3,
1.444E008,7.139E+3,
1.446E008,7.193E+3,
1.448E008,7.206E+3,
1.45E08,7.114E+3,
1.452E008,7.181E+3,
1.454E008,7.122E+3,
1.456E008,7.015E+3,
1.458E008,7.221E+3,
1.46E08,7.204E+3,
1.462E008,7.171E+3,
1.464E008,6.974E+3,
1.466E008,7.062E+3,
1.468E008,7.159E+3,
1.47E08,7.255E+3,
1.472E008,7.183E+3,
1.474E008,7.310E+3,
1.476E008,7.334E+3,
1.478E008,7.155E+3,
1.48E08,7.208E+3,
1.482E008,7.293E+3,
1.484E008,7.097E+3,
1.486E008,7.216E+3,
1.488E008,7.136E+3,
1.49E08,7.200E+3,
1.492E008,7.235E+3,
1.494E008,7.204E+3,
1.496E008,7.094E+3,
1.498E008,7.208E+3,
1.5E08,7.122E+3,
1.502E008,7.089E+3,
1.504E008,7.309E+3,
1.506E008,7.171E+3,
