Labels,T24_decay_air,
Type,Time Scan,
Comment,,
Start,0.00,
Stop,99975008.000000,
Step,2.5E04,
Fixed/Offset, ,
XAxis,Time,
YAxis,Counts,

1.0675E0007,1.930E+4,
1.07E07,1.943E+4,
1.0725E0007,1.909E+4,
1.075E007,1.912E+4,
1.0775E0007,1.933E+4,
1.08E07,1.924E+4,
1.0825E0007,1.890E+4,
1.085E007,1.904E+4,
1.0875E0007,1.921E+4,
1.09E07,1.910E+4,
1.0925E0007,1.922E+4,
1.095E007,1.902E+4,
1.0975E0007,1.885E+4,
1.1E07,1.877E+4,
1.1025E0007,1.903E+4,
1.105E007,1.883E+4,
1.1075E0007,1.906E+4,
1.11E07,1.893E+4,
1.1125E0007,1.874E+4,
1.115E007,1.870E+4,
1.1175E0007,1.886E+4,
1.12E07,1.865E+4,
1.1225E0007,1.884E+4,
1.125E007,1.856E+4,
1.1275E0007,1.872E+4,
1.13E07,1.870E+4,
1.1325E0007,1.847E+4,
1.135E007,1.847E+4,
1.1375E0007,1.844E+4,
1.14E07,1.844E+4,
1.1425E0007,1.825E+4,
1.145E007,1.859E+4,
1.1475E0007,1.829E+4,
1.15E07,1.816E+4,
1.1525E0007,1.831E+4,
1.155E007,1.824E+4,
1.1575E0007,1.806E+4,
1.16E07,1.811E+4,
1.1625E0007,1.825E+4,
1.165E007,1.792E+4,
1.1675E0007,1.827E+4,
1.17E07,1.804E+4,
1.1725E0007,1.793E+4,
1.175E007,1.788E+4,
1.1775E0007,1.791E+4,
1.18E07,1.798E+4,
1.1825E0007,1.786E+4,
1.185E007,1.784E+4,
1.1875E0007,1.762E+4,
1.19E07,1.775E+4,
1.1925E0007,1.774E+4,
1.195E007,1.781E+4,
1.1975E0007,1.766E+4,
1.2E07,1.767E+4,
1.2025E0007,1.729E+4,
1.205E007,1.750E+4,
1.2075E0007,1.747E+4,
1.21E07,1.731E+4,
1.2125E0007,1.748E+4,
1.215E007,1.732E+4,
1.2175E0007,1.711E+4,
1.22E07,1.729E+4,
1.2225E0007,1.715E+4,
1.225E007,1.719E+4,
1.2275E0007,1.712E+4,
1.23E07,1.720E+4,
1.2325E0007,1.705E+4,
1.235E007,1.733E+4,
1.2375E0007,1.721E+4,
1.24E07,1.713E+4,
1.2425E0007,1.698E+4,
1.245E007,1.697E+4,
1.2475E0007,1.731E+4,
1.25E07,1.697E+4,
1.2525E0007,1.694E+4,
1.255E007,1.697E+4,
1.2575E0007,1.669E+4,
1.26E07,1.688E+4,
1.2625E0007,1.686E+4,
1.265E007,1.678E+4,
1.2675E0007,1.666E+4,
1.27E07,1.666E+4,
1.2725E0007,1.651E+4,
1.275E007,1.674E+4,
1.2775E0007,1.675E+4,
1.28E07,1.656E+4,
1.2825E0007,1.672E+4,
1.285E007,1.656E+4,
1.2875E0007,1.655E+4,
1.29E07,1.658E+4,
1.2925E0007,1.638E+4,
1.295E007,1.649E+4,
1.2975E0007,1.644E+4,
1.3E07,1.633E+4,
1.3025E0007,1.643E+4,
1.305E007,1.625E+4,
1.3075E0007,1.635E+4,
1.31E07,1.622E+4,
1.3125E0007,1.596E+4,
1.315E007,1.598E+4,
1.3175E0007,1.593E+4,
1.32E07,1.607E+4,
1.3225E0007,1.604E+4,
1.325E007,1.583E+4,
1.3275E0007,1.611E+4,
1.33E07,1.603E+4,
1.3325E0007,1.570E+4,
1.335E007,1.598E+4,
1.3375E0007,1.592E+4,
1.34E07,1.570E+4,
1.3425E0007,1.561E+4,
1.345E007,1.566E+4,
1.3475E0007,1.579E+4,
1.35E07,1.581E+4,
1.3525E0007,1.561E+4,
1.355E007,1.554E+4,
1.3575E0007,1.575E+4,
1.36E07,1.572E+4,
1.3625E0007,1.555E+4,
1.365E007,1.529E+4,
1.3675E0007,1.554E+4,
1.37E07,1.556E+4,
1.3725E0007,1.542E+4,
1.375E007,1.544E+4,
1.3775E0007,1.532E+4,
1.38E07,1.559E+4,
1.3825E0007,1.539E+4,
1.385E007,1.508E+4,
1.3875E0007,1.523E+4,
1.39E07,1.537E+4,
1.3925E0007,1.516E+4,
1.395E007,1.526E+4,
1.3975E0007,1.522E+4,
1.4E07,1.539E+4,
1.4025E0007,1.538E+4,
1.405E007,1.550E+4,
1.4075E0007,1.505E+4,
1.41E07,1.499E+4,
1.4125E0007,1.502E+4,
1.415E007,1.502E+4,
1.4175E0007,1.500E+4,
1.42E07,1.496E+4,
1.4225E0007,1.502E+4,
1.425E007,1.472E+4,
1.4275E0007,1.460E+4,
1.43E07,1.487E+4,
1.4325E0007,1.485E+4,
1.435E007,1.491E+4,
1.4375E0007,1.452E+4,
1.44E07,1.477E+4,
1.4425E0007,1.486E+4,
1.445E007,1.471E+4,
1.4475E0007,1.473E+4,
1.45E07,1.471E+4,
1.4525E0007,1.441E+4,
1.455E007,1.463E+4,
1.4575E0007,1.456E+4,
1.46E07,1.456E+4,
1.4625E0007,1.463E+4,
1.465E007,1.457E+4,
1.4675E0007,1.442E+4,
1.47E07,1.444E+4,
1.4725E0007,1.439E+4,
1.475E007,1.442E+4,
1.4775E0007,1.450E+4,
1.48E07,1.417E+4,
1.4825E0007,1.429E+4,
1.485E007,1.429E+4,
1.4875E0007,1.414E+4,
1.49E07,1.407E+4,
1.4925E0007,1.397E+4,
1.495E007,1.411E+4,
1.4975E0007,1.396E+4,
1.5E07,1.405E+4,
1.5025E0007,1.398E+4,
1.505E007,1.409E+4,
1.5075E0007,1.410E+4,
1.51E07,1.399E+4,
1.5125E0007,1.400E+4,
1.515E007,1.399E+4,
1.5175E0007,1.395E+4,
1.52E07,1.396E+4,
1.5225E0007,1.385E+4,
1.525E007,1.386E+4,
1.5275E0007,1.378E+4,
1.53E07,1.382E+4,
1.5325E0007,1.368E+4,
1.535E007,1.372E+4,
1.5375E0007,1.349E+4,
1.54E07,1.378E+4,
1.5425E0007,1.347E+4,
1.545E007,1.370E+4,
1.5475E0007,1.369E+4,
1.55E07,1.354E+4,
1.5525E0007,1.351E+4,
1.555E007,1.346E+4,
1.5575E0007,1.354E+4,
1.56E07,1.344E+4,
1.5625E0007,1.343E+4,
1.565E007,1.340E+4,
1.5675E0007,1.341E+4,
1.57E07,1.328E+4,
1.5725E0007,1.334E+4,
1.575E007,1.341E+4,
1.5775E0007,1.317E+4,
1.58E07,1.339E+4,
1.5825E0007,1.316E+4,
1.585E007,1.315E+4,
1.5875E0007,1.327E+4,
1.59E07,1.303E+4,
