Labels,T27_decay_canolaOil,
Type,Time Scan,
Comment,,
Start,0.00,
Stop,99975008.000000,
Step,2.5E04,
Fixed/Offset, ,
XAxis,Time,
YAxis,Counts,

8825000.700000,1.527E+4,
8850000.700000,1.528E+4,
8875000.700000,1.492E+4,
8900000.700000,1.505E+4,
8925000.700000,1.514E+4,
8950000.700000,1.496E+4,
8975000.700000,1.512E+4,
9000000.700000,1.493E+4,
9025000.700000,1.476E+4,
9050000.700000,1.484E+4,
9075000.700000,1.471E+4,
9100000.700000,1.501E+4,
9125000.700000,1.475E+4,
9150000.700000,1.473E+4,
9175000.700000,1.471E+4,
9200000.700000,1.464E+4,
9225000.700000,1.479E+4,
9250000.700000,1.471E+4,
9275000.700000,1.450E+4,
9300000.700000,1.453E+4,
9325000.700000,1.447E+4,
9350000.700000,1.458E+4,
9375000.700000,1.459E+4,
9400000.700000,1.430E+4,
9425000.700000,1.444E+4,
9450000.700000,1.417E+4,
9475000.700000,1.445E+4,
9500000.700000,1.424E+4,
9525000.700000,1.424E+4,
9550000.700000,1.415E+4,
9575000.700000,1.417E+4,
9600000.800000,1.437E+4,
9625000.800000,1.424E+4,
9650000.800000,1.409E+4,
9675000.800000,1.421E+4,
9700000.800000,1.373E+4,
9725000.800000,1.401E+4,
9750000.800000,1.410E+4,
9775000.800000,1.390E+4,
9800000.800000,1.377E+4,
9825000.800000,1.386E+4,
9850000.800000,1.393E+4,
9875000.800000,1.399E+4,
9900000.800000,1.377E+4,
9925000.800000,1.393E+4,
9950000.800000,1.369E+4,
9975000.800000,1.368E+4,
1E07,1.373E+4,
1.0025E0007,1.367E+4,
1.005E007,1.352E+4,
1.0075E0007,1.354E+4,
1.01E07,1.363E+4,
1.0125E0007,1.358E+4,
1.015E007,1.353E+4,
1.0175E0007,1.352E+4,
1.02E07,1.328E+4,
1.0225E0007,1.331E+4,
1.025E007,1.328E+4,
1.0275E0007,1.344E+4,
1.03E07,1.322E+4,
1.0325E0007,1.313E+4,
1.035E007,1.326E+4,
1.0375E0007,1.315E+4,
1.04E07,1.332E+4,
1.0425E0007,1.332E+4,
1.045E007,1.315E+4,
1.0475E0007,1.319E+4,
1.05E07,1.310E+4,
1.0525E0007,1.298E+4,
1.055E007,1.293E+4,
1.0575E0007,1.302E+4,
1.06E07,1.289E+4,
1.0625E0007,1.283E+4,
1.065E007,1.281E+4,
1.0675E0007,1.298E+4,
1.07E07,1.270E+4,
1.0725E0007,1.276E+4,
1.075E007,1.275E+4,
1.0775E0007,1.267E+4,
1.08E07,1.285E+4,
1.0825E0007,1.284E+4,
1.085E007,1.266E+4,
1.0875E0007,1.255E+4,
1.09E07,1.230E+4,
1.0925E0007,1.225E+4,
1.095E007,1.246E+4,
1.0975E0007,1.254E+4,
1.1E07,1.217E+4,
1.1025E0007,1.257E+4,
1.105E007,1.261E+4,
1.1075E0007,1.251E+4,
1.11E07,1.234E+4,
1.1125E0007,1.229E+4,
1.115E007,1.221E+4,
1.1175E0007,1.230E+4,
1.12E07,1.227E+4,
1.1225E0007,1.226E+4,
1.125E007,1.216E+4,
1.1275E0007,1.237E+4,
1.13E07,1.203E+4,
1.1325E0007,1.219E+4,
1.135E007,1.197E+4,
1.1375E0007,1.195E+4,
1.14E07,1.208E+4,
1.1425E0007,1.187E+4,
