Labels,T2_air,
Type,Time Scan,
Comment,,
Start,0.00,
Stop,99975008.000000,
Step,2.5E04,
Fixed/Offset, ,
XAxis,Time,
YAxis,Counts,

1.92E07,8.879E+3,
1.9225E0007,9.068E+3,
1.925E007,8.894E+3,
1.9275E0007,9.063E+3,
1.93E07,8.817E+3,
1.9325E0007,8.759E+3,
1.935E007,8.947E+3,
1.9375E0007,8.854E+3,
1.94E07,8.808E+3,
1.9425E0007,8.775E+3,
1.945E007,8.865E+3,
1.9475E0007,8.747E+3,
1.95E07,8.753E+3,
1.9525E0007,8.511E+3,
1.955E007,8.666E+3,
1.9575E0007,8.774E+3,
1.96E07,8.596E+3,
1.9625E0007,8.771E+3,
1.965E007,8.735E+3,
1.9675E0007,8.976E+3,
1.97E07,8.591E+3,
1.9725E0007,8.587E+3,
1.975E007,8.681E+3,
1.9775E0007,8.709E+3,
1.98E07,8.434E+3,
1.9825E0007,8.376E+3,
1.985E007,8.542E+3,
1.9875E0007,8.602E+3,
1.99E07,8.494E+3,
1.9925E0007,8.616E+3,
1.995E007,8.415E+3,
1.9975E0007,8.384E+3,
2E07,8.487E+3,
2.0025E0007,8.534E+3,
2.005E007,8.517E+3,
2.0075E0007,8.354E+3,
2.01E07,8.349E+3,
2.0125E0007,8.390E+3,
2.015E007,8.270E+3,
2.0175E0007,8.486E+3,
2.02E07,8.232E+3,
2.0225E0007,8.335E+3,
2.025E007,8.443E+3,
2.0275E0007,8.171E+3,
2.03E07,8.207E+3,
2.0325E0007,8.292E+3,
2.035E007,8.266E+3,
2.0375E0007,8.169E+3,
2.04E07,8.142E+3,
2.0425E0007,8.127E+3,
2.045E007,8.193E+3,
2.0475E0007,8.199E+3,
2.05E07,8.129E+3,
2.0525E0007,8.081E+3,
2.055E007,8.043E+3,
2.0575E0007,8.136E+3,
2.06E07,7.942E+3,
2.0625E0007,7.951E+3,
2.065E007,8.027E+3,
2.0675E0007,8.117E+3,
2.07E07,7.948E+3,
2.0725E0007,7.929E+3,
2.075E007,8.111E+3,
2.0775E0007,7.851E+3,
2.08E07,7.924E+3,
2.0825E0007,7.931E+3,
2.085E007,7.780E+3,
2.0875E0007,8.016E+3,
2.09E07,7.683E+3,
2.0925E0007,7.909E+3,
2.095E007,7.931E+3,
2.0975E0007,7.853E+3,
2.1E07,7.690E+3,
2.1025E0007,7.803E+3,
2.105E007,7.681E+3,
2.1075E0007,7.754E+3,
2.11E07,7.717E+3,
2.1125E0007,7.796E+3,
2.115E007,7.942E+3,
2.1175E0007,7.834E+3,
2.12E07,7.885E+3,
2.1225E0007,7.777E+3,
